Treatment,EWblock,Aspect,Block,Dry weight 01,Dry weight 02,Bacteria 01,Bacteria 02,Fungi 01,Fungi 02,Ca/Mg ratio 01,Ca/Mg ratio 02,pH CaCl 01,pH CaCl 02,Soil chloride 01,Soil chloride 02,Soil phosphorus 01,Soil phosphorus 02,Soil potassium 01,Soil potassium 02,Soluble calcium 01,Soluble calcium 02,Soluble magnesium 01,Soluble magnesium 02,Soluble potassium 01,Soluble potassium 02,Soluble sodium 01,Soluble sodium 02
1,1,2,1,0.86,0.90,7.00,9.07,2.60,26.6,1.47,1.46,4.56,4.5,143.00,130,22.50,14,258.10,170,2.11,5.8,1.43,1.3,0.70,0.41,2.02,1.9
1,1,1,2,0.86,0.91,7.70,9.76,0.00,2.78,1.05,0.81,4.92,5,136.00, <60,13.30,12,274.70,250,1.77,3.6,1.68,1.6,0.72,0.75,2.11,1.3
1,2,2,3,0.80,0.87,18.50,10.2,11.50,64.3,1.20,0.94,4.89,5,20.90,76,8.20,7,261.40,290,1.22,3.4,1.01,1.8,0.57,1,0.91,1.7
1,2,1,4,0.80,0.90,25.00,10.8,10.80,13.6,0.95,0.88,4.68,5,14.60,92,7.70,6,196.90,260,0.76,5.4,0.80,1.7,0.42,0.9,0.84,1.5
1,3,2,5,0.77,0.92,38.10,10.5,22.90,2.74,1.28,0.80,5.03,5.1,17.60,79,14.90,11,191.50,200,1.25,4.9,0.98,2,0.41,0.74,1.05,1.6
1,3,1,6,0.82,0.92,28.20,6.68,5.40,6.99,1.29,1.19,4.81,4.9,19.20,78,13.60,17,187.40,220,1.45,4.1,1.12,1.6,0.39,0.79,1.71,1.9
2,1,2,1,0.81,0.89,6.30,6.22,10.00,1.89,1.55,1.47,5.67,5.6,108.00,150,19.90,22,673.60,1100,2.08,5.8,1.34,1.5,1.72,5.4,2.60,2.2
2,1,1,2,0.83,0.90,19.10,6.43,17.80,0.62,1.34,1.21,5.48,5.9,92.80,160,15.40,23,700.50,810,1.47,6.9,1.10,1.9,2.22,4.6,1.33,2.3
2,2,2,3,0.85,0.91,27.20,2.96,3.30,0.62,1.15,1.28,4.79,5.7,46.40,250,8.20,20,181.60,1000,1.09,5.6,0.94,1.8,0.27,5.5,1.70,2.3
2,2,1,4,0.86,0.91,10.00,1.68,0.80,0.61,1.39,1.15,4.89,5.8,25.30,200,7.60,23,186.60,1100,1.33,6.3,0.96,2,0.29,5.3,1.31,2.3
2,3,2,5,0.83,0.91,13.30,0.98,17.00,1.23,1.38,1.29,5.67,6,146.00,170,13.90,30,553.40,770,1.71,6.7,1.24,2.1,1.81,4.1,2.71,2.7
2,3,1,6,0.80,0.93,23.29,1.23,15.14,0.3,1.32,1.33,5.43,5.5,109.87,190,14.84,28,510.78,870,1.66,5.8,1.25,1.8,1.63,5,2.39,2.4
3,1,2,1,0.79,0.85,12.10,10,1.10,5.95,1.54,1.20,4.68,4.8,16.00,77,13.10,20,267.10,760,1.06,3.7,0.69,2,0.50,4.3,0.64,2.4
3,1,1,2,0.81,0.87,7.10,7.96,1.10,7.88,1.17,0.92,5.09,5,22.10,110,12.10,29,257.60,800,1.24,3.5,1.06,2.6,0.53,6.9,1.13,2.4
3,2,2,3,0.80,0.88,7.50,13.2,2.10,14.6,1.70,,5.52,5.2,167.00,98,16.00,23,705.90,,2.37,,1.39,,3.76,,1.88,
3,2,1,4,0.80,0.83,24.90,9.37,10.50,9.06,1.26,0.74,5.44,5.2,131.00,120,21.20,28,662.20,890,1.43,5.3,1.14,3.8,3.46,6.5,1.77,2.8
3,3,2,5,0.87,0.86,17.10,9.78,11.20,5.5,1.41,0.70,5.04,5.2,36.80,110,10.70,17,122.00,620,1.38,5.9,0.98,3.7,0.17,3.7,1.51,2.6
3,3,1,6,0.84,0.89,22.30,7.07,12.60,18.6,1.22,0.94,5.04,5.1,53.30,130,17.80,27,151.40,770,1.31,4.6,1.07,3.1,0.30,5.7,2.38,2.9
