Treatment,EWblock,Aspect,Block,Row,Panel,Vine,Trunk diameter in 2000 (cm),Trunk diameter in 2001 (cm),Trunk diameter in 2002 (cm),Trunk diameter in 2003 (cm)
1,1,2,1,8,7,1,3.33,3.33,3.33,3.33
1,1,2,1,8,7,2,3.36,3.36,3.36,3.36
1,1,2,1,8,7,3,3.41,3.41,3.41,3.41
1,1,2,1,9,8,1,3.67,3.67,3.67,3.67
1,1,2,1,9,8,2,2.96,2.96,2.96,2.96
1,1,2,1,9,8,3,3.43,3.43,3.43,3.43
1,1,2,1,10,9,1,3.11,3.11,3.11,3.11
1,1,2,1,10,9,2,3.59,3.59,3.59,3.59
1,1,2,1,10,9,3,3.77,3.77,3.77,3.77
3,1,2,1,14,10,1,3.47,3.47,3.47,3.47
3,1,2,1,14,10,2,3.13,3.13,3.13,3.13
3,1,2,1,14,10,3,3.98,3.98,3.98,3.98
3,1,2,1,15,10,1,3.53,3.53,3.53,3.53
3,1,2,1,15,10,2,3.87,3.87,3.87,3.87
3,1,2,1,15,10,3,3.87,3.87,3.87,3.87
3,1,2,1,16,10,1,3.54,3.54,3.54,3.54
3,1,2,1,16,10,2,3.44,3.44,3.44,3.44
3,1,2,1,16,10,3,3.69,3.69,3.69,3.69
2,1,2,1,20,9,1,3.6,3.6,3.6,3.6
2,1,2,1,20,9,2,3.19,3.19,3.19,3.19
2,1,2,1,20,9,3,3.59,3.59,3.59,3.59
2,1,2,1,21,9,1,3.4,3.4,3.4,3.4
2,1,2,1,21,9,2,3.18,3.18,3.18,3.18
2,1,2,1,21,9,3,3.34,3.34,3.34,3.34
2,1,2,1,22,8,3,3.06,3.06,3.06,3.06
2,1,2,1,22,9,1,3.63,3.63,3.63,3.63
2,1,2,1,22,9,2,3.02,3.02,3.02,3.02
1,1,1,2,9,25,1,2.28,2.28,2.28,2.28
1,1,1,2,9,25,2,2.87,2.87,2.87,2.87
1,1,1,2,9,25,3,2.74,2.74,2.74,2.74
1,1,1,2,10,26,1,4.08,4.08,4.08,4.08
1,1,1,2,10,26,2,3.46,3.46,3.46,3.46
1,1,1,2,10,26,3,3.46,3.46,3.46,3.46
1,1,1,2,11,26,2,2.26,2.26,2.26,2.26
1,1,1,2,11,26,3,3.04,3.04,3.04,3.04
1,1,1,2,11,27,1,3.5,3.5,3.5,3.5
3,1,1,2,15,28,1,3.41,3.41,3.41,3.41
3,1,1,2,15,28,2,2.72,2.72,2.72,2.72
3,1,1,2,15,28,3,3.2,3.2,3.2,3.2
3,1,1,2,16,27,3,3.17,3.17,3.17,3.17
3,1,1,2,16,28,1,3.38,3.38,3.38,3.38
3,1,1,2,16,28,2,3.08,3.08,3.08,3.08
3,1,1,2,17,27,1,3.19,3.19,3.19,3.19
3,1,1,2,17,27,2,3.61,3.61,3.61,3.61
3,1,1,2,17,27,3,2.9,2.9,2.9,2.9
2,1,1,2,21,21,1,3.29,3.29,3.29,3.29
2,1,1,2,21,21,2,3.36,3.36,3.36,3.36
2,1,1,2,21,21,3,2.83,2.83,2.83,2.83
2,1,1,2,22,21,1,2.96,2.96,2.96,2.96
2,1,1,2,22,21,2,2.84,2.84,2.84,2.84
2,1,1,2,22,21,3,3.1,3.1,3.1,3.1
2,1,1,2,23,21,1,3.21,3.21,3.21,3.21
2,1,1,2,23,21,2,2.68,2.68,2.68,2.68
2,1,1,2,23,21,3,3.07,3.07,3.07,3.07
2,2,2,3,26,8,1,3.51,3.51,3.51,3.51
2,2,2,3,26,8,3,3.73,3.73,3.73,3.73
2,2,2,3,26,9,1,2.62,2.62,2.62,2.62
2,2,2,3,27,9,1,2.77,2.77,2.77,2.77
2,2,2,3,27,9,2,3.28,3.28,3.28,3.28
2,2,2,3,27,9,3,3.15,3.15,3.15,3.15
2,2,2,3,28,9,1,2.89,2.89,2.89,2.89
2,2,2,3,28,9,2,3.66,3.66,3.66,3.66
2,2,2,3,28,9,3,4.38,4.38,4.38,4.38
1,2,2,3,32,7,1,2.59,2.59,2.59,2.59
1,2,2,3,32,7,2,3.84,3.84,3.84,3.84
1,2,2,3,32,7,3,2.53,2.53,2.53,2.53
1,2,2,3,33,7,1,2.75,2.75,2.75,2.75
1,2,2,3,33,7,3,3.68,3.68,3.68,3.68
1,2,2,3,33,8,1,2.74,2.74,2.74,2.74
1,2,2,3,34,6,3,2.72,2.72,2.72,2.72
1,2,2,3,34,7,1,3.44,3.44,3.44,3.44
1,2,2,3,34,7,3,3.33,3.33,3.33,3.33
3,2,2,3,38,13,1,2.78,2.78,2.78,2.78
3,2,2,3,38,13,2,3.4,3.4,3.4,3.4
3,2,2,3,38,13,3,2.57,2.57,2.57,2.57
3,2,2,3,39,13,1,2.95,2.95,2.95,2.95
3,2,2,3,39,13,2,4.1,4.1,4.1,4.1
3,2,2,3,39,13,3,3.77,3.77,3.77,3.77
3,2,2,3,40,12,1,3,3,3,3
3,2,2,3,40,13,1,2.78,2.78,2.78,2.78
3,2,2,3,40,13,3,2.79,2.79,2.79,2.79
