Treatment,EWblock,Aspect,Block,Year,Number of bunches per vine (2001),Weight of bunches per vine in kg (2001),Weight of material pruned per vine in kg (2001)
1,1,2,1,2001,48.00,4.26,1.35
1,1,1,2,2001,40.56,4.13,0.93
1,2,2,3,2001,37.67,4.62,0.82
1,2,1,4,2001,21.78,2.56,0.47
1,3,2,5,2001,16.33,1.89,0.43
1,3,1,6,2001,17.78,2.18,0.53
2,1,2,1,2001,40.89,5.03,1.25
2,1,1,2,2001,36.33,4.87,0.85
2,2,2,3,2001,33.67,5.03,1.18
2,2,1,4,2001,33.11,4.17,0.86
2,3,2,5,2001,22.56,2.34,0.63
2,3,1,6,2001,19.56,2.14,0.63
3,1,2,1,2001,48.44,6.32,1.49
3,1,1,2,2001,46.11,5.30,0.99
3,2,2,3,2001,34.89,4.09,0.69
3,2,1,4,2001,34.89,4.32,0.57
3,3,2,5,2001,34.78,4.15,0.52
3,3,1,6,2001,26.89,3.16,0.45
1,1,2,1,2002,38.78,1.48,1.60
1,1,1,2,2002,33.67,0.88,1.16
1,2,2,3,2002,31.89,1.59,1.42
1,2,1,4,2002,27.89,0.89,0.93
1,3,2,5,2002,31.00,1.03,0.67
1,3,1,6,2002,29.33,0.81,0.86
2,1,2,1,2002,44.22,1.67,1.43
2,1,1,2,2002,39.89,1.34,1.14
2,2,2,3,2002,37.33,1.50,1.40
2,2,1,4,2002,36.33,1.60,1.31
2,3,2,5,2002,36.56,1.55,0.85
2,3,1,6,2002,36.67,1.37,0.92
3,1,2,1,2002,44.22,1.85,2.11
3,1,1,2,2002,38.89,1.39,1.32
3,2,2,3,2002,35.44,1.61,1.31
3,2,1,4,2002,36.56,1.55,1.16
3,3,2,5,2002,33.78,1.59,0.91
3,3,1,6,2002,34.56,1.31,0.89
1,1,2,1,2003,12.33,0.94,0.57
1,1,1,2,2003,13.67,1.30,0.88
1,2,2,3,2003,19.22,1.94,1.48
1,2,1,4,2003,11.44,1.27,0.78
1,3,2,5,2003,12.56,1.12,0.66
1,3,1,6,2003,12.89,1.27,0.78
2,1,2,1,2003,16.22,1.30,0.85
2,1,1,2,2003,14.33,1.38,0.96
2,2,2,3,2003,14.11,1.20,0.74
2,2,1,4,2003,19.11,1.83,1.23
2,3,2,5,2003,16.67,1.37,0.97
2,3,1,6,2003,15.56,1.47,1.02
3,1,2,1,2003,12.78,0.98,0.52
3,1,1,2,2003,12.44,1.21,0.72
3,2,2,3,2003,16.00,1.28,0.71
3,2,1,4,2003,15.89,1.22,0.76
3,3,2,5,2003,19.44,1.34,0.88
3,3,1,6,2003,16.67,1.17,0.57
