"","Treatment","EWblock","Aspect","Block","Row","Panel","Vine","Trunk.diameter.2000.cm","Trunk.diameter.2001.cm","Trunk.diameter.2002.cm","Trunk.diameter.2003.cm"
"1","Herbicide","Block 1","South","Block 1, South",8,7,1,3.33,3.33,3.33,3.33
"2","Herbicide","Block 1","South","Block 1, South",8,7,2,3.36,3.36,3.36,3.36
"3","Herbicide","Block 1","South","Block 1, South",8,7,3,3.41,3.41,3.41,3.41
"4","Herbicide","Block 1","South","Block 1, South",9,8,1,3.67,3.67,3.67,3.67
"5","Herbicide","Block 1","South","Block 1, South",9,8,2,2.96,2.96,2.96,2.96
"6","Herbicide","Block 1","South","Block 1, South",9,8,3,3.43,3.43,3.43,3.43
"7","Herbicide","Block 1","South","Block 1, South",10,9,1,3.11,3.11,3.11,3.11
"8","Herbicide","Block 1","South","Block 1, South",10,9,2,3.59,3.59,3.59,3.59
"9","Herbicide","Block 1","South","Block 1, South",10,9,3,3.77,3.77,3.77,3.77
"10","Straw","Block 1","South","Block 1, South",14,10,1,3.47,3.47,3.47,3.47
"11","Straw","Block 1","South","Block 1, South",14,10,2,3.13,3.13,3.13,3.13
"12","Straw","Block 1","South","Block 1, South",14,10,3,3.98,3.98,3.98,3.98
"13","Straw","Block 1","South","Block 1, South",15,10,1,3.53,3.53,3.53,3.53
"14","Straw","Block 1","South","Block 1, South",15,10,2,3.87,3.87,3.87,3.87
"15","Straw","Block 1","South","Block 1, South",15,10,3,3.87,3.87,3.87,3.87
"16","Straw","Block 1","South","Block 1, South",16,10,1,3.54,3.54,3.54,3.54
"17","Straw","Block 1","South","Block 1, South",16,10,2,3.44,3.44,3.44,3.44
"18","Straw","Block 1","South","Block 1, South",16,10,3,3.69,3.69,3.69,3.69
"19","Compost","Block 1","South","Block 1, South",20,9,1,3.6,3.6,3.6,3.6
"20","Compost","Block 1","South","Block 1, South",20,9,2,3.19,3.19,3.19,3.19
"21","Compost","Block 1","South","Block 1, South",20,9,3,3.59,3.59,3.59,3.59
"22","Compost","Block 1","South","Block 1, South",21,9,1,3.4,3.4,3.4,3.4
"23","Compost","Block 1","South","Block 1, South",21,9,2,3.18,3.18,3.18,3.18
"24","Compost","Block 1","South","Block 1, South",21,9,3,3.34,3.34,3.34,3.34
"25","Compost","Block 1","South","Block 1, South",22,8,3,3.06,3.06,3.06,3.06
"26","Compost","Block 1","South","Block 1, South",22,9,1,3.63,3.63,3.63,3.63
"27","Compost","Block 1","South","Block 1, South",22,9,2,3.02,3.02,3.02,3.02
"28","Herbicide","Block 1","North","Block 1, North",9,25,1,2.28,2.28,2.28,2.28
"29","Herbicide","Block 1","North","Block 1, North",9,25,2,2.87,2.87,2.87,2.87
"30","Herbicide","Block 1","North","Block 1, North",9,25,3,2.74,2.74,2.74,2.74
"31","Herbicide","Block 1","North","Block 1, North",10,26,1,4.08,4.08,4.08,4.08
"32","Herbicide","Block 1","North","Block 1, North",10,26,2,3.46,3.46,3.46,3.46
"33","Herbicide","Block 1","North","Block 1, North",10,26,3,3.46,3.46,3.46,3.46
"34","Herbicide","Block 1","North","Block 1, North",11,26,2,2.26,2.26,2.26,2.26
"35","Herbicide","Block 1","North","Block 1, North",11,26,3,3.04,3.04,3.04,3.04
"36","Herbicide","Block 1","North","Block 1, North",11,27,1,3.5,3.5,3.5,3.5
"37","Straw","Block 1","North","Block 1, North",15,28,1,3.41,3.41,3.41,3.41
"38","Straw","Block 1","North","Block 1, North",15,28,2,2.72,2.72,2.72,2.72
"39","Straw","Block 1","North","Block 1, North",15,28,3,3.2,3.2,3.2,3.2
"40","Straw","Block 1","North","Block 1, North",16,27,3,3.17,3.17,3.17,3.17
"41","Straw","Block 1","North","Block 1, North",16,28,1,3.38,3.38,3.38,3.38
"42","Straw","Block 1","North","Block 1, North",16,28,2,3.08,3.08,3.08,3.08
"43","Straw","Block 1","North","Block 1, North",17,27,1,3.19,3.19,3.19,3.19
"44","Straw","Block 1","North","Block 1, North",17,27,2,3.61,3.61,3.61,3.61
